Model,Split,Target,Residual
Linear Regression,train,triglycerides,-0.2695560066193474
Linear Regression,train,triglycerides,-0.16961748658264497
Linear Regression,train,triglycerides,0.6522257187240923
Linear Regression,train,triglycerides,-0.21347745779271765
Linear Regression,train,triglycerides,0.6994423729364145
Linear Regression,train,triglycerides,-0.042185397173242656
Linear Regression,train,triglycerides,-0.3887369999593515
Linear Regression,train,triglycerides,-0.11171655297878935
Linear Regression,train,triglycerides,0.5800911919766838
Linear Regression,train,triglycerides,0.944332375537102
Linear Regression,train,triglycerides,-0.15972983464303514
Linear Regression,train,triglycerides,0.6058298069673267
Linear Regression,train,triglycerides,0.8002772530192246
Linear Regression,train,triglycerides,-0.003631643587480582
Linear Regression,train,triglycerides,-0.402715498403337
Linear Regression,train,triglycerides,0.9632121789055486
Linear Regression,train,triglycerides,0.2767819073055797
Linear Regression,train,triglycerides,-0.39407509669294605
Linear Regression,train,triglycerides,-0.28564982016174945
Linear Regression,train,triglycerides,-0.6723646010989262
Linear Regression,train,triglycerides,-0.04754553098316272
Linear Regression,train,triglycerides,0.3766856595877526
Linear Regression,train,triglycerides,0.22015999694140742
Linear Regression,train,triglycerides,0.2764636265750591
Linear Regression,train,triglycerides,0.07221092269804519
Linear Regression,train,triglycerides,0.09727301499790553
Linear Regression,train,triglycerides,-0.03049911157925944
Linear Regression,train,triglycerides,-0.20234812192289997
Linear Regression,train,triglycerides,0.413176834982802
Linear Regression,train,triglycerides,-0.554599165363511
Linear Regression,train,triglycerides,-0.5571001043971879
Linear Regression,train,triglycerides,0.45484052571493105
Linear Regression,train,triglycerides,-0.21728912074561357
Linear Regression,train,triglycerides,-0.33070960381353487
Linear Regression,train,triglycerides,-0.0830064235409731
Linear Regression,train,triglycerides,-0.47711389078066757
Linear Regression,train,triglycerides,-0.28907601576636566
Linear Regression,train,triglycerides,0.7062163133481691
Linear Regression,train,triglycerides,0.6201922035309373
Linear Regression,train,triglycerides,0.4094376472361807
Linear Regression,train,triglycerides,-0.6445315649939927
Linear Regression,train,triglycerides,0.44924706531565217
Linear Regression,train,triglycerides,-0.15448542335768245
Linear Regression,train,triglycerides,-0.08579372583984135
Linear Regression,train,triglycerides,0.2967518821096986
Linear Regression,train,triglycerides,-0.11772482554049635
Linear Regression,train,triglycerides,0.046802816230607114
Linear Regression,train,triglycerides,0.7500307854004111
Linear Regression,train,triglycerides,-0.47900104282186806
Linear Regression,train,triglycerides,-0.17359756799604487
Linear Regression,train,triglycerides,-0.4305204938141678
Linear Regression,train,triglycerides,-0.4355634976597731
Linear Regression,train,triglycerides,-0.7754897176044455
Linear Regression,train,triglycerides,1.540867436718889
Linear Regression,train,triglycerides,0.36745569872869055
Linear Regression,train,triglycerides,-0.5956095979258005
Linear Regression,train,triglycerides,-0.02290105961789113
Linear Regression,train,triglycerides,-0.46371803621737717
Linear Regression,train,triglycerides,-0.6641726135394652
Linear Regression,train,triglycerides,-0.08654839275654247
Linear Regression,train,triglycerides,-0.22539321589703754
Linear Regression,train,triglycerides,-0.6958849118451509
Linear Regression,train,triglycerides,-0.29503812372419613
Linear Regression,train,triglycerides,-0.7190060150488407
Linear Regression,train,triglycerides,1.1630957613939392
Linear Regression,train,triglycerides,-0.3638711061905333
Linear Regression,train,triglycerides,0.14713689707788546
Linear Regression,train,triglycerides,0.12024402397697376
Linear Regression,train,triglycerides,0.23747554343719468
Linear Regression,train,triglycerides,-1.0487838512372871
Linear Regression,train,triglycerides,0.7543403100295549
Linear Regression,train,triglycerides,-0.265173888280696
Linear Regression,train,triglycerides,0.422319516334972
Linear Regression,train,triglycerides,0.6489965726428126
Linear Regression,train,triglycerides,0.03927911579758536
Linear Regression,train,triglycerides,0.7330817860773324
Linear Regression,train,triglycerides,-0.33563927678317906
Linear Regression,train,triglycerides,-0.6362942832068343
Linear Regression,train,triglycerides,-0.8514984232640423
Linear Regression,train,triglycerides,-0.38358138716872947
Linear Regression,train,triglycerides,-0.5736955517565221
Linear Regression,train,triglycerides,0.21325968198972944
Linear Regression,train,triglycerides,0.7472657229927488
Linear Regression,train,triglycerides,-0.42840946085337395
Linear Regression,train,triglycerides,-0.5515867914777179
Linear Regression,train,triglycerides,-0.38166316904781894
